pk_id,name,sound_path,fk_complexity,fk_pos,word_origin,word_meaning,word_usage,image_path,fk_game_type_id,status,created_by,created_on,updated_by,updated_on,pronunciation,
3788,Influentially,SoundFiles/3788.mp4,3,4,Latin,exerting influence,"He moved out to Sterling City, and was soon influentially connected with the official life of this county",,0,2,0,2014-01-05 10:42:14,0,NULL,in-floo'en-shu-lee,
3789,Infuriated,SoundFiles/3789.mp4,3,5,Latin,to make somebody extremely angry,infuriated onlookers charged the police who were beating the boy,,0,2,0,2014-01-05 10:42:14,0,NULL,"in'fyûr-ee,ey-tid",
3790,Ingredient,SoundFiles/3790.mp4,3,1,Latin,"one of the things from which something is made, especially one of the foods that are used together to make a particular dish",humour: an effective ingredient of a speech,,0,2,0,2014-01-05 10:42:14,0,NULL,in'gree-dee-unt,
3791,Inheriting,SoundFiles/3791.mp4,3,5,Latin,"to receive money, property, etc. from somebody when they die",There are many types of inheriting disorders,,0,2,0,2014-01-05 10:42:14,0,NULL,in'he-ri-ting,
3792,Iniquitous,SoundFiles/3792.mp4,3,5,French,very unfair or wrong,iniquitous deeds,,0,2,0,2014-01-05 10:42:14,0,NULL,i'ni-kwi-tus,
3793,Innocence,SoundFiles/3793.mp4,3,1,French,"the fact of not being guilty of a crime, etc",the trial established his innocence,,0,2,0,2014-01-05 10:42:14,0,NULL,i-nu-sun(t)s,
3794,Inordinate,SoundFiles/3794.mp4,3,5,Latin,far more than is usual or expected,a book of inordinate length,,0,2,0,2014-01-05 10:42:14,0,NULL,in'or-du-nut,
3795,Inscrutable,SoundFiles/3795.mp4,3,5,Latin,"if a person or their expression is inscrutable, it is hard to know what they are thinking or feeling, because they do not show any emotion",the inscrutable workings of Providence,,0,2,0,2014-01-05 10:42:14,0,NULL,in'skroo-tu-bul,
3796,Inseparable,SoundFiles/3796.mp4,3,5,Latin,not able to be separated,inseparable pieces of rock,,0,2,0,2014-01-05 10:42:14,0,NULL,in'se-p(u-)ru-bul,
3797,Insinuation,SoundFiles/3797.mp4,3,1,Latin,something that somebody insinuates,she refused to use insinuation in order to gain favour,,0,2,0,2014-01-05 10:42:14,0,NULL,"in,sin-yoo'ey-shun",
3798,Insomnia,SoundFiles/3798.mp4,3,1,Latin,the condition of being unable to sleep,insomnia in cancer patients is under evaluation,,0,2,0,2014-01-05 10:42:14,0,NULL,in'sóm-nee-u,
